"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 01 16:36:37 GMT 2021","Sun Aug 01 16:36:38 GMT 2021","1082","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"passed","Sun Aug 01 16:36:35 GMT 2021","Sun Aug 01 16:36:36 GMT 2021","1167","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"passed","Sun Aug 01 16:36:36 GMT 2021","Sun Aug 01 16:36:37 GMT 2021","929","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
"broken","Sun Aug 01 16:37:00 GMT 2021","Sun Aug 01 16:37:21 GMT 2021","21249","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"passed","Sun Aug 01 16:39:03 GMT 2021","Sun Aug 01 16:39:15 GMT 2021","11046","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesListCheck","SearchMorePagesListCheck()",""
"passed","Sun Aug 01 16:39:30 GMT 2021","Sun Aug 01 16:39:34 GMT 2021","4631","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"passed","Sun Aug 01 16:39:26 GMT 2021","Sun Aug 01 16:39:30 GMT 2021","3868","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"passed","Sun Aug 01 16:36:38 GMT 2021","Sun Aug 01 16:36:39 GMT 2021","959","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
"passed","Sun Aug 01 16:37:21 GMT 2021","Sun Aug 01 16:39:03 GMT 2021","102005","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
"passed","Sun Aug 01 16:36:29 GMT 2021","Sun Aug 01 16:36:31 GMT 2021","2077","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"passed","Sun Aug 01 16:36:31 GMT 2021","Sun Aug 01 16:36:32 GMT 2021","1411","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogIn","ZeroLogIn()",""
"passed","Sun Aug 01 16:36:24 GMT 2021","Sun Aug 01 16:36:29 GMT 2021","4747","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
"broken","Sun Aug 01 16:36:39 GMT 2021","Sun Aug 01 16:37:00 GMT 2021","21281","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"passed","Sun Aug 01 16:36:32 GMT 2021","Sun Aug 01 16:36:35 GMT 2021","2451","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"broken","Sun Aug 01 16:39:15 GMT 2021","Sun Aug 01 16:39:26 GMT 2021","11206","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
